TYPEDEVEILLE	THEMATIQUE	SECTION	DOMAINE	SOUSDOMAINE	Enrichment_GPT_Matching_Themes
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Île de Man		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Israël		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Japon		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Jersey		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Nouvelle-Zélande		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	République de Corée		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Royaume-Uni		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Transfert de données vers des États hors de l'Union européenne	Suisse		
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère personnel	Sanctions			
Sécurité des systèmes d'information (SSI)	Traitement des données à caractère non personnel	Dispositions générales			
TESTS	TESTS	TESTS			
Gestion des ressources humaines - Fonction publique	Champ d'application et définitions	Champ d'application			
Gestion des ressources humaines - Fonction publique	Champ d'application et définitions	Définitions			
Gestion des ressources humaines - Fonction publique	Principes généraux	Droits et libertés dans la fonction publique			
Gestion des ressources humaines - Fonction publique	Principes généraux	Protection dans l'exercice des fonctions			
Gestion des ressources humaines - Fonction publique	Recrutement	Conditions générales d'accès à l'emploi	Dispositions générales		
Gestion des ressources humaines - Fonction publique	Recrutement	Recul ou suppresison de l'âge maximal pour le recrutement			
Gestion des ressources humaines - Fonction publique	Formation professionnelle	Dispositions générales			
Gestion des ressources humaines - Fonction publique	Formation professionnelle	Formation professionnelle continue	Formations à l'initiative de l'employeur et plan de formation		
Gestion des ressources humaines - Fonction publique	Rémunération	Fonction publique hospitalière	Heures supplémentaires		
Gestion des ressources humaines - Fonction publique	Rémunération	Fonction publique hospitalière	Evolution du salaire		
Gestion des ressources humaines - Fonction publique	Rémunération	Fonction publique hospitalière	Travail de nuit		
Gestion des ressources humaines - Fonction publique	Rémunération	Heures supplémentaires dans la fonction publique	Dispositions générales		
Gestion des ressources humaines - Fonction publique	Droits, obligations et protections	Protections et garanties	Égalité professionnelle femmes/hommes	Nomination équilibrée entre les femmes et les hommes	
Gestion des ressources humaines - Fonction publique	Droits, obligations et protections	Protections et garanties	Égalité professionnelle femmes/hommes	Suppression des écarts de rémunération entre les femmes et les hommes	
Gestion des ressources humaines - Fonction publique	Repos et congés	Compte épargne temps	Compte épargne-temps dans la fonction publique de l'Etat		
Gestion des ressources humaines - Fonction publique	Repos et congés	Compte épargne temps	Compte épargne temps dans la fonction publique territoriale		
Sécurité ferroviaire	Système de transport ferroviaire national	Principes généraux			
Sécurité ferroviaire	Système de transport ferroviaire national	Groupe public unifié	Organisation		
Sécurité ferroviaire	Système de transport ferroviaire national	Groupe public unifié	Contrôle de l'Etat		
Sécurité ferroviaire	Système de transport ferroviaire national	SNCF	Objet et missions		
Sécurité ferroviaire	Système de transport ferroviaire national	SNCF	Organisation		
Sécurité ferroviaire	Système de transport ferroviaire national	Protection du domaine public ferroviaire			
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Principes généraux	Définitions		
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Principes généraux	Rôle de l'Etat		
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Principes généraux	Classification des évènements de sécurité		
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Principes généraux	Principes de sécurité		
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Interopérabilité	Mise sur le marché des constituants d'interopérabilité ferroviaire	Dispositions générales	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Interopérabilité	Mise sur le marché des constituants d'interopérabilité ferroviaire	Sanctions administratives et pénales	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Interopérabilité	Mise en service des sous-systèmes ferroviaires	Dispositions générales	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Interopérabilité	Mise en service des sous-systèmes ferroviaires	Infractions	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Interopérabilité	Mise en service des sous-systèmes ferroviaires	Non-conformité aux exigences essentielles	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Interopérabilité	Spécifications techniques d'interopérabilité (STI)		
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Interopérabilité	Organismes d'évaluation de la conformité		
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Interopérabilité	Mise sur le marché des sous-systèmes et constituants de sécurité des installations à câbles	Dispositions générales	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Interopérabilité	Mise sur le marché des sous-systèmes et constituants de sécurité des installations à câbles	Sanctions administratives et pénales	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Sécurité	Etablissement public de sécurité ferroviaire	Rôle et missions	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Sécurité	Etablissement public de sécurité ferroviaire	Fonctionnement	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Sécurité	Etablissement public de sécurité ferroviaire	Ressources	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Sécurité	Dispositions relatives aux tâches de sécurité	Dispositions générales	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Sécurité	Dispositions relatives aux tâches de sécurité	Conduite des trains	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Sécurité	Dispositions relatives aux tâches de sécurité	Méthode de sécurité commune (MSC)	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Sécurité	Dispositions relatives aux tâches de sécurité	Objectifs de sécurité communs	
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Sécurité	Compte-rendu d'évènements mettant en cause la sécurité ferroviaire		
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Sécurité	Agence ferroviaire européenne		
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Protection du domaine public ferroviaire	Mesures de conservation		
Sécurité ferroviaire	Interopérabilité et sécurité des transports ferroviaires	Protection du domaine public ferroviaire	Contraventions de grande voirie		
Sécurité ferroviaire	Gestion des infrastructures	Définition et consistance	Réseau ferré national		
Sécurité ferroviaire	Gestion des infrastructures	SNCF Réseau	Objet et mission		
Sécurité ferroviaire	Gestion des infrastructures	SNCF Réseau	Organisation		
Sécurité ferroviaire	Exploitation	Organisation du transport ferroviaire	Service assuré sur les infrastructures appartenant à l'Etat	Services d'intérêt national	
Sécurité ferroviaire	Exploitation	Organisation du transport ferroviaire	Service assuré sur les infrastructures appartenant à l'Etat	Services d'intérêt régional	
Sécurité ferroviaire	Exploitation	Organisation du transport ferroviaire	Services assurés par les autres infrastructures		
Sécurité ferroviaire	Exploitation	Organisation du transport ferroviaire	Services librement organisés		
Sécurité ferroviaire	Exploitation	Organisation du transport ferroviaire	Vente des billets		
Sécurité ferroviaire	Exploitation	Règles générales d'accès au réseau	Dispositions communes		
Sécurité ferroviaire	Exploitation	Règles générales d'accès au réseau	Règles applicables au gestionnaire d'infrastructure		
Sécurité ferroviaire	Exploitation	Règles générales d'accès au réseau	Règles applicables aux entreprises ferroviaires et aux autres candidats		
Sécurité ferroviaire	Exploitation	Entretien du matériel roulant ferroviaire	Certification des entités en charge de l'entretien et de la maintenance du matériel roulant ferroviaire (ECE/ECM)		
Sécurité ferroviaire	Relations au travail	Durée de travail			
Sécurité ferroviaire	Relations au travail	Négociation collective			
Dispositifs médicaux	Dispositions communes	Recherche biomédicale			
Dispositifs médicaux	Dispositions communes	Sanctions financières par l'ARS et l'ANSM			
Dispositifs médicaux	Dispositifs médicaux non in vitro	Dispositions générales	Dispositions communes		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Dispositions générales	Définitions		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Dispositions générales	Champ d'application		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Dispositions générales	Classification		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Evaluation de la conformité	Dispositions communes		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Evaluation de la conformité	Dispositifs soumis à investigation clinique	Champ d'application	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Evaluation de la conformité	Dispositifs soumis à investigation clinique	Dispositions générales	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Evaluation de la conformité	Dispositifs non-soumis à investigation clinique	Dispositions communes	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Evaluation de la conformité	Dispositifs non-soumis à investigation clinique	Marquage CE-Dispositions générales	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Evaluation de la conformité	Dispositifs non-soumis à investigation clinique	Dispositifs sur mesure	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Evaluation de la conformité	Dispositifs non-soumis à investigation clinique	Vérification CE	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Evaluation de la conformité	Dispositifs non-soumis à investigation clinique	Examen CE de type	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Evaluation de la conformité	Dispositifs non-soumis à investigation clinique	Déclaration CE de conformité	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Evaluation de la conformité	Organismes d'habilitation		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Evaluation de la conformité	Assemblage de dispositifs		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Exigences essentielles de santé et de sécurité	Dispositions communes		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Exigences essentielles de santé et de sécurité	Système d'analyse et de gestion du risque		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Exigences essentielles de santé et de sécurité	Conception et fabrication	Dispositifs implantables actifs	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Exigences essentielles de santé et de sécurité	Conception et fabrication	Dispositifs autres qu'implantables actifs	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Exigences essentielles de santé et de sécurité	Conception et fabrication	Dispositifs composés de tissus d'origine animale	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Contrôle de qualité et maintenance	Dispositions générales		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Contrôle de qualité et maintenance	Remise en bon état d'usage	Dispositions générales	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Contrôle de qualité et maintenance	Remise en bon état d'usage	Centres ou professionnels certifiés	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Contrôle de qualité et maintenance	Remise en bon état d'usage	Modalités de contrôle	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Contrôle de qualité et maintenance	Déchets		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Matériovigilance	Dispositions générales		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Matériovigilance	Signalements des incidents et risques d'incidents		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Matériovigilance	Dispositifs à rayonnements ionisants		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Vente et publicité	Publicité	Dispositions générales	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Vente et publicité	Publicité	Autorisation préalable	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Vente et publicité	Vente	Revente de dispositifs médicaux d'occasion	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Vente et publicité	Vente	Dispositif médicaux à usage gynécologique	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Vente et publicité	Vente	Dispositifs contenant de l'acide hyaluronique	
Dispositifs médicaux	Dispositifs médicaux non in vitro	Matériel Médical	Stylos préremplis injectables		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Suivi par l'ANSM			
Dispositifs médicaux	Dispositifs médicaux non in vitro	Sanctions	Sanctions pénales		
Dispositifs médicaux	Dispositifs médicaux non in vitro	Sanctions	Sanctions financières		
Relations collectives de travail	Comité social et économique (CSE)	Dispositions générales	Champ d'application		
Relations collectives de travail	Comité social et économique (CSE)	Dispositions générales	Attributions générales		
Relations collectives de travail	Comité social et économique (CSE)	Dispositions générales	Fonctionnement	Dispositions générales	
Relations collectives de travail	Comité social et économique (CSE)	Dispositions générales	Fonctionnement	Heures de délégation	
Relations collectives de travail	Comité social et économique (CSE)	Dispositions générales	Fonctionnement	Déplacement et circulation	
Relations collectives de travail	Comité social et économique (CSE)	Dispositions générales	Fonctionnement	Affichage	
Relations collectives de travail	Comité social et économique (CSE)	Dispositions générales	Fonctionnement	Formation	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de 11 à 49 salariés	Attributions		
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de 11 à 49 salariés	Fonctionnement		
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Attributions générales		
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Attributions en matières d'activités sociales et culturelles	Attributions générales	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Attributions en matières d'activités sociales et culturelles	Financement	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Attributions en matières d'activités sociales et culturelles	Gestion par le comité social et économique	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Attributions en matières d'activités sociales et culturelles	Gestion par le comité des activités sociales et culturelles interentreprises	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Attributions en matières d'activités sociales et culturelles	Ressources et dépenses	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Consultations et information récurrentes	Ordre public	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Consultations et information récurrentes	Champ de la négociation	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Consultations et information récurrentes	Dispositions supplétives	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Consultations et information ponctuelles	Ordre public	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Consultations et information ponctuelles	Champ de la négociation	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Consultations et information ponctuelles	Dispositions supplétives	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Droits d'alerte	Alerte en cas d'atteinte aux droits des personnes	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Droits d'alerte	Alerte en cas de danger grave et imminent	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Droits d'alerte	Droit d'alerte économique	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Droits d'alerte	Droit d'alerte sociale	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Participation aux conseils d'administration ou de surveillance		
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Règles générales de fonctionnement	Dispositions générales	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Règles générales de fonctionnement	Règlement intérieur	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Règles générales de fonctionnement	Local	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Règles générales de fonctionnement	Réunions	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Règles générales de fonctionnement	Votes et délibérations	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Règles générales de fonctionnement	Procès-verbal	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Règles générales de fonctionnement	Subvention de fonctionnement	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Règles générales de fonctionnement	Formation économique	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Etablissement et contrôle des comptes		
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Commissions	Commissions santé, sécurité et conditions de travail	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Commissions	Commission des marchés	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Commissions	Champ de la négociation des autres commissions	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Commissions	Dispositions supplétives	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Expertise	Dispositions générales	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Expertise	Expertise dans le cadre des consultations récurrentes	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Expertise	Autres cas de recours à l'expertise	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises de plus de 50 salariés	Compétence en matière de formation professionnelle et d'apprentissage		
Relations collectives de travail	Comité social et économique (CSE)	Mise en place et suppression	Mise en place	Mise en place du comité social et économique et des comités sociaux et économiques d'établissement	
Relations collectives de travail	Comité social et économique (CSE)	Mise en place et suppression	Mise en place	Représentants de proximité	
Relations collectives de travail	Comité social et économique (CSE)	Mise en place et suppression	Mise en place	Mise en place du comité social et économique au niveau de l'unité économique et sociale	
Relations collectives de travail	Comité social et économique (CSE)	Mise en place et suppression	Mise en place	Mise en place du comité social et économique interentreprises	
Relations collectives de travail	Comité social et économique (CSE)	Mise en place et suppression	Suppression		
Relations collectives de travail	Comité social et économique (CSE)	Composition, élection et mandat	Composition		
Relations collectives de travail	Comité social et économique (CSE)	Composition, élection et mandat	Election	Organisation des élections	
Relations collectives de travail	Comité social et économique (CSE)	Composition, élection et mandat	Election	Collèges électoraux	
Relations collectives de travail	Comité social et économique (CSE)	Composition, élection et mandat	Election	Electorat et éligibilité	
Relations collectives de travail	Comité social et économique (CSE)	Composition, élection et mandat	Election	Mode de scrutin et résultat des élections	
Relations collectives de travail	Comité social et économique (CSE)	Composition, élection et mandat	Election	Représentation équilibrée des femmes et des hommes	
Relations collectives de travail	Comité social et économique (CSE)	Composition, élection et mandat	Election	Contestations	
Relations collectives de travail	Comité social et économique (CSE)	Composition, élection et mandat	Mandat		
